mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
mobile,21,2346,512,100,1800,600,900,15,449000,15046,8124840,7703552,433954,3.351,96.649,6.144,0.205428,6.26933,70,0.233333,55.5568
mobile,21,2346,512,100,1800,900,1200,20,599000,39027,21074580,19981824,559973,6.51536,93.4846,8.192,0.532849,7.62009,82,0.273333,57.9633
mobile,21,2346,512,100,1800,1200,1500,20,600000,35848,19357920,18354176,564152,5.97467,94.0253,8.192,0.489445,8.30489,96,0.32,52.5417
mobile,21,2346,512,100,1800,1500,1800,20,600000,14725,7951500,7539200,585275,2.45417,97.5458,8.192,0.201045,3.36851,89,0.296667,58.3917
mobile,22,2346,512,100,1800,2,300,5,149000,12372,6680880,6334464,136628,8.30336,91.6966,2.048,0.170053,5.01778,26,0.0872483,44.3289
mobile,22,2346,512,100,1800,300,600,10,299000,14067,7596180,7202304,284933,4.70468,95.2953,4.096,0.192061,8.53752,46,0.153333,60.8528
mobile,22,2346,512,100,1800,600,900,15,449000,25834,13950360,13227008,423166,5.75367,94.2463,6.144,0.35272,5.73383,59,0.196667,60.7795
mobile,22,2346,512,100,1800,900,1200,20,599000,34262,18501480,17542144,564738,5.71987,94.2801,8.192,0.467791,5.23669,82,0.273333,58.2137
mobile,22,2346,512,100,1800,1200,1500,21,629800,21678,11706120,11099136,608122,3.44205,96.558,8.6016,0.295977,5.78785,93,0.31,55.3827
mobile,22,2346,512,100,1800,1500,1800,21,630000,33242,17950680,17019904,596758,5.27651,94.7235,8.6016,0.453864,9.21701,96,0.32,55.8016
mobile,23,2346,512,100,1800,2,300,5,149000,2685,1449900,1374720,146315,1.80201,98.198,2.048,0.0369052,5.50651,23,0.0771812,59.0268
mobile,23,2346,512,100,1800,300,600,10,299000,10049,5426460,5145088,288951,3.36087,96.6391,4.096,0.137202,6.05424,43,0.143333,57.9599
mobile,23,2346,512,100,1800,600,900,15,449000,14297,7720380,7320064,434703,3.18419,96.8158,6.144,0.195202,6.4596,52,0.173333,61.5256
mobile,23,2346,512,100,1800,900,1200,20,599000,20547,11095380,10520064,578453,3.43022,96.5698,8.192,0.280535,9.31478,92,0.306667,57.4624
mobile,23,2346,512,100,1800,1200,1500,22,659600,36113,19501020,18489856,623487,5.47498,94.525,9.0112,0.493063,7.91957,91,0.303333,57.7395
mobile,23,2346,512,100,1800,1500,1800,22,660000,39015,21068100,19975680,620985,5.91136,94.0886,9.0112,0.532685,8.46695,98,0.326667,53.9394
mobile,24,2346,512,100,1800,2,300,5,149000,4851,2619540,2483712,144149,3.2557,96.7443,2.048,0.0666768,6.35836,20,0.0671141,59.7987
mobile,24,2346,512,100,1800,300,600,10,299000,19922,10757880,10200064,279078,6.66288,93.3371,4.096,0.272002,4.83562,44,0.146667,55.903
