mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
static,29,2346,512,100,1800,300,600,10,299000,29800,16092000,15257600,269200,9.96656,90.0334,4.096,0.406869,0.465452,0,0,90.0334
static,29,2346,512,100,1800,600,900,15,449000,30000,16200000,15360000,419000,6.68151,93.3185,6.144,0.4096,0.465092,0,0,93.3185
static,29,2346,512,100,1800,900,1200,20,599000,30000,16200000,15360000,569000,5.00835,94.9917,8.192,0.4096,0.465339,0,0,94.9917
static,29,2346,512,100,1800,1200,1500,25,749000,30000,16200000,15360000,719000,4.00534,95.9947,10.24,0.4096,0.465445,0,0,95.9947
static,29,2346,512,100,1800,1500,1800,28,839400,30000,16200000,15360000,809400,3.57398,96.426,11.4688,0.4096,0.4655,0,0,96.426
static,30,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,80
static,30,2346,512,100,1800,300,600,10,299000,29800,16092000,15257600,269200,9.96656,90.0334,4.096,0.406869,0.46468,0,0,80
static,30,2346,512,100,1800,600,900,15,449000,49399,26675460,25292288,399601,11.002,88.998,6.144,0.674461,0.829892,0,0,66.7261
static,30,2346,512,100,1800,900,1200,20,599000,60000,32400000,30720000,539000,10.0167,89.9833,8.192,0.8192,0.930454,0,0,69.9833
static,30,2346,512,100,1800,1200,1500,25,749000,59999,32399460,30719488,689001,8.01055,91.9895,10.24,0.819186,0.928909,0,0,71.9893
static,30,2346,512,100,1800,1500,1800,29,869200,49599,26783460,25394688,819601,5.70628,94.2937,11.8784,0.677192,0.831659,0,0,68.983
